w1,w2,context,answer
gold,silver,December delivery gold fell $3.20 an ounce to $377.60.December silver declined 6.50 cents an ounce to $5.2180.,0
plant,animal,"One technique developed by some of these companies involves a chemical spray supposed to kill only a plant's pollen.But there have been problems with chemical sprays damaging plants' female reproductive organs and concern for the toxicity of such chemical sprays to humans, animals and beneficial insects. ",0
current,old,"Under the agreement with the House and Senate leaders, the minimum wage would rise from the current $3.35 an hour to $4.25 an hour by April 1991.Employers could also pay a subminimum ""training wage"" for 90 days to new workers who are up to 19 years old, and then for another 90 days if the company institutes a specific training program for the newcomers.",0
charge,pay,"Bailiffs claimed they were required to chauffeur him to and from work, mow his lawn, chop his wood, fix his car and even drop by his house to feed his two grown mutts, Dixie and Husky.One former bailiff charged that the judge double-crossed him by reneging on a promise of a better paying job after pocketing a $500 bribe.",0
keep,let,"Grover Hartt III, a government lawyer, warned that Mr. Hunt stood to lose certain oil and gas properties, $200,000 in English pottery, a Colorado condominium and other assets he might have kept if he had settled with the IRS. ""But they wanted to roll the dice and we're going to let them,"" Mr. Hartt said.",0
only,many,"Money isn't the only thing that makes her dump once favorite brands.After she heard about the artery-clogging hazards of tropical oils in many cookies, she dropped Pepperidge Farm and started buying brands free of such oils. ""I always thought Pepperidge Farm was tasty and high quality,"" Mrs. Lombardi says. ""But I don't want any of that oil for my grandkids."" (Pepperidge Farm says it can't tell exactly how many customers it has lost, but it hopes to remove the objectionable tropical oil from all its products by year end.) ",0
kill,save,"Some FAA officials note that few infants have been killed in plane crashes, raising the question of whether safety seats really are needed.A 1981 Harvard Medical School study that scrutinized accidents in the late 1970s concluded that perhaps three babies would have been saved in a five-year period if safety-seat use had been required.",1
big,little,"""We're seeing nothing out of the ordinary,"" said one official at a Top 10 bank. ""That's good news, because we all swim in this water."" Added another executive at a big bank: ""We were all a little goosey over the weekend trying to forecast what would happen {Monday}, but it's been very quiet.Now, as for tomorrow, hell, who knows?""",0
deliver,take,"""The streamlined manufacturing process benefits our customers in at least two ways,"" Mr. Westendorf concludes. ""First, we have better quality assurance than ever, because the people building the product have taken on more responsibility for the quality of their own work.Second, we trimmed more than a month off the time required to deliver a finished product."" ",0
leave,join,"Some former strike-force personnel say the units have already begun to break up.The Eastern District unit in Brooklyn, N.Y., lost seven of its 15 attorneys this year partly because the lawyers were troubled by the proposed reorganization, says Laura A. Brevetti, who left the strike force to join Morrison Cohen Singer & Weinstein, a New York law firm.",1
reject,allow,"The offer, which Telerate's two independent directors have rejected as inadequate, previously had been scheduled to expire at midnight Friday.Dow Jones said it extended the offer to allow shareholders time to review a supplement to the Dow Jones tender offer circular that it mailed last Friday. ",0
space,air,"Mr. Good devotes much serious space to the events of Feb. 25, 1942, when American gunners spotted strange lights in the sky above Los Angeles.Air-raid sirens sounded the alarm at 2:25 a.m., summoning 12,000 air wardens to duty.",0
put,move,"By Richterian standards, the show that the Oakland Athletics put on Friday and Saturday nights, in putting a mercifully swift end to the game's Longest Short Series, rated somewhere between a 10 and an 11.The boys with the white elephants on their sleeves might not have made the earth move much, but they certainly did some impressive things with baseballs.",0
case,capital,"White House aides know it's a step that can't be taken lightly -- and for that reason, the president may back down from launching a test case this year.Some senior advisers argue that with further fights over a capital-gains tax cut and a budget-reduction bill looming, Mr. Bush already has enough pending confrontations with Congress.",0
let,hold,"Prime Minister Margaret Thatcher might, however, be receptive to any request by Jaguar Chairman Sir John Egan for the restriction's early removal to let GM amass more than 15% or mount a friendly suitor bid against Ford.In the end, Sir John -- rather than the government or Jaguar shareholders -- may hold the key that unlocks the golden share.",0
quick,slow,"Resistance to a national language comes primarily from members of the country's elite, who generally prefer English.But while better-off Filipinos are quick to cite the logic in using a language as widespread as English, they are often slow to reveal that they are prejudiced against Filipino, say advocates of the native language. ""For the middle and upper-middle class {Filipino} is declasse,"" says Bien Lumbera, a Philippine-studies professor at Quezon City's University of the Philippines. ",1
buy,save,"Seagram says the promotion is designed to build brand loyalty rather than promote heavy drinking.Seagram asks customers to buy only two or three bottles over a 12-month period, says Richard Shaw, vice president of U.S. direct marketing. ""We're not asking them to save up 50 proof-of-purchases.",0
give,bring,"Give television a chance to cover live any breaking of the law, and no second invitation will be required.This brings into question the motives of those who lead civil disobedience demonstrations.",0
big,little,"""He still hasn't proven his mettle as a big-league take-out artist,"" said airline analyst Kevin Murphy of Morgan Stanley & Co. ""He's done this thing where he'll buy a little bit of a company and then trade out of it.He's written this book, `The Art of the Deal. ' Why doesn't he just follow through on one of these things?"" ",0
floor,wall,"A 10-gallon water cooler had toppled onto the floor, soaking the red carpeting.Lights flickered on and off; plaster dropped from the ceiling, the walls still shook and an evacuation alarm blared outside.",0
local,foreign,"Under current rules, investors in Taiwan can buy overseas stocks only through the purchase of mutual funds issued by local and foreign investment trusts.The new rules will allow investors to buy foreign stocks directly. ",0
enough,much,"""The number of correct responses was 45% on the test and school absences didn't change much,"" said Mr. Bruner. ""The pilot program was received well (by teachers and students), but there wasn't reason enough to sign up.We even invited the public to stop by and see the program, but there wasn't much interest.""",0
climb,go,"The precious metals sector outgained other Dow Jones industry groups by a wide margin for the second consecutive session.Hecla Mining rose 5/8 to 14; Battle Mountain Gold climbed 3/4 to 16 3/4; Homestake Mining rose 1 1/8 to 16 7/8; Lac Minerals added 5/8 to 11; Placer Dome went up 7/8 to 16 3/4, and ASA Ltd. jumped 3 5/8 to 49 5/8.",0
rural,urban,"Even if only some of the allegations stand up, however, they provide ample testimony to the awesome power of judges in rural communities.That power can sometimes be abused, particularly since jurists in smaller jurisdictions operate without many of the restraints that serve as corrective measures in urban areas. ",1
allow,forbid,"In recent years, Nissan has instituted flex-time work schedules and allowed employees to dress casually, even in blue jeans.A rule forbidding staffers to own competitors' cars has been lifted, and now many designers drive foreign cars to get useful ideas.",1
stop,move,"Crashing into a cornfield, United Airlines' Flight 232 flipped over, and she lost her grip on her son. ""I saw for an instant my son's body floating and flying"" toward the back of the plane, Ms. Tsao recalled.When the plane stopped moving, she frantically tried to find him.",0
guy,girl,"But fully 90% of those polled felt they didn't need to belong to a health club. ""They're too crowded, and everybody's showing off,"" says Joel Bryant, a 22-year-old student from Pasadena, Calif. ""The guys are being macho, and the girls are walking around in little things.They're not there to work out.""",1
buy,rent,"To make skiing more convenient for time-strapped visitors, several resorts are buying or starting their own travel agencies.In one phone call, ski buffs can make hotel and restaurant reservations, buy lift tickets, rent ski equipment and sign up for lessons.",0
show,hide,"In 1979, two Voyager spacecraft sent back stunning photos of Jovian moons Io and Europa that showed them to be among the most intriguing bodies in the solar system.The photos showed active geysers on Io spewing sulfurous material 190 miles into its atmosphere and indicated that Europa may have an ocean hidden under a thick sheet of ice.",0
terrible,great,"There can be no quibbling that the Armenians endured terrible suffering, but one has to wonder what possible good such a resolution will achieve.It puts great strain on a longstanding U.S. friendship with Turkey, a country that has been one of America's strongest allies in NATO.",0
